Temperatura,TDS,Turbidez,PH,Clase,,Condición,Clase
23.87,77.3,6.7,6.82,0,,,
23.87,77.3,4,6.82,0,,,
23.81,77.34,3.65,6.82,0,,,
23.87,77.3,3.65,6.81,0,,,
23.87,77.3,3.65,6.82,0,,,
23.87,77.29,0.65,6.82,0,,,
23.87,77.3,2.55,6.82,0,,,
23.87,77.29,3.8,6.82,0,,,
23.87,77.28,3.9,6.82,0,,,
23.87,77.29,3.95,6.82,0,,,
23.87,77.16,3.45,6.82,0,,,
23.87,76.82,3.55,6.82,0,,,
23.87,78.33,3.95,6.82,0,,,
23.87,78.49,3.75,6.82,0,,,
23.87,78.17,2.25,6.82,0,,,
23.87,78.16,2.15,6.82,0,,,
23.87,78.21,4.05,6.82,0,,,
23.87,78.2,3.75,6.82,0,,,
23.87,78.19,3.3,6.82,0,,,
23.87,78.21,3.65,6.82,0,,,
23.87,78.16,3.2,6.82,0,,,
23.87,77.91,3.9,6.82,0,,,
23.87,77.89,3.2,6.82,0,,,
23.87,79.2,6.3,6.82,0,,,
23.87,79.2,3.85,6.82,0,,,
23.87,79.24,4,6.82,0,,,
23.87,79.11,9.1,6.82,0,,,
23.87,79.39,3.55,6.82,0,,,
23.87,79.58,3.85,6.82,0,,,
23.87,77.92,3.2,6.81,0,,,
23.87,77.9,4.95,6.82,0,,,
23.87,77.9,3.5,6.82,0,,,
23.87,77.97,4,6.82,0,,,
23.87,77.98,3.45,6.81,0,,,
23.87,78.03,3.65,6.82,0,,,
23.87,77.92,4,6.82,0,,,
23.87,77.99,3.8,6.82,0,,,
23.87,77.99,4,6.82,0,,,
23.87,78,3.75,6.82,0,,,
23.87,78,3.55,6.82,0,,,
23.87,77.99,3.7,6.82,0,,,
23.94,78.02,3.9,6.82,0,,,
23.87,78.02,3.95,6.82,0,,,
23.87,77.81,3.75,6.83,0,,,
23.87,78.03,3.2,6.82,0,,,
23.87,77.77,3.75,6.82,0,,,
23.87,77.66,4,6.82,0,,,
23.87,77.7,3.9,6.82,0,,,
23.94,77.71,3.7,6.82,0,,,
23.87,77.72,3.7,6.82,0,,,
23.94,78.03,3.9,6.82,0,,,
23.87,78.37,3.8,6.82,0,,,
23.87,78.49,4.4,6.82,0,,,
23.87,78.01,3.7,6.82,0,,,
23.87,76.87,3.45,6.82,0,,,
23.87,76.87,3.4,6.82,0,,,
23.87,76.89,3.95,6.82,0,,,
23.87,76.91,4,6.82,0,,,
23.94,76.46,4,6.82,0,,,
23.87,78.15,3.75,6.82,0,,,
23.87,78.24,3.6,6.82,0,,,
23.87,77,5,6.82,0,,,
23.87,76.93,3.55,6.82,0,,,
23.87,77.08,4.55,6.82,0,,,
23.87,77.03,4,6.82,0,,,
23.87,77.18,4,6.82,0,,,
23.87,77.06,3.9,6.82,0,,,
23.87,77.04,3.55,6.82,0,,,
23.94,77.04,4,6.82,0,,,
23.87,77.03,3.5,6.82,0,,,
23.87,77.04,3.95,6.82,0,,,
23.87,76.99,3.5,6.82,0,,,
23.87,77,4,6.82,0,,,
23.87,77,3.65,6.82,0,,,
23.94,77.09,3.95,6.82,0,,,
23.94,76.35,3.85,6.83,0,,,
23.87,75.32,4.05,6.83,0,,,
23.87,75.63,4.45,6.82,0,,,
23.94,73.81,7.35,6.82,0,,,
23.87,73.78,3.7,6.82,0,,,
23.87,73.65,3.9,6.82,0,,,
23.87,73.59,4,6.82,0,,,
23.87,73.5,4,6.83,0,,,
23.94,72.48,3.4,6.83,0,,,
23.87,73.95,6.15,6.83,0,,,
23.94,75.56,0,6.83,0,,,
23.87,75.57,3.9,6.83,0,,,
23.94,75.52,3.9,6.83,0,,,
23.87,76,3.85,6.83,0,,,
23.87,75.99,3.45,6.83,0,,,
23.87,75.88,3.9,6.83,0,,,
23.94,77.15,3.7,6.84,0,,,
23.87,77.16,3.85,6.84,0,,,
23.94,76.97,2.35,6.84,0,,,
23.87,76.96,0.05,6.84,0,,,
23.87,76.94,5.65,6.84,0,,,
23.94,76.99,3.55,6.84,0,,,
23.87,77.02,4,6.84,0,,,
23.87,77.19,4,6.84,0,,,
23.87,77.22,3.9,6.85,0,,,
23.87,76.24,3.45,6.85,0,,,
23.87,76.28,7.8,6.84,0,,,
23.94,76.27,6.7,6.84,0,,,
23.87,76.34,3.55,6.84,0,,,
23.87,76.34,3.5,6.84,0,,,
23.94,77.37,3.8,6.84,0,,,
23.87,78.43,3.85,6.84,0,,,
23.87,78.65,3.7,6.84,0,,,
23.87,80.79,3.75,6.84,0,,,
23.87,80.77,4.35,6.84,0,,,
23.87,80.76,3.75,6.85,0,,,
23.87,80.73,3.9,6.84,0,,,
23.87,80.73,3.95,6.84,0,,,
23.87,80.86,3.65,6.84,0,,,
23.87,80.53,4.85,6.86,0,,,
23.87,78.84,3.5,6.84,0,,,
23.87,79.44,3.7,6.84,0,,,
23.94,79.47,3.85,6.84,0,,,
23.87,79.27,5.35,6.85,0,,,
23.87,79.25,3.9,6.85,0,,,
23.87,79.31,4,6.85,0,,,
23.94,79.25,3.3,6.84,0,,,
23.94,79.24,3.85,6.85,0,,,
23.87,79.44,4,6.85,0,,,
23.94,78.59,7.45,6.85,0,,,
23.87,80.67,4.55,6.84,0,,,
23.87,80.61,3.7,6.85,0,,,
23.87,80.6,3.5,6.85,0,,,
23.94,80.45,3.95,6.85,0,,,
23.94,80.24,3.95,6.85,0,,,
23.94,81.21,3.45,6.84,0,,,
23.87,81.11,3.5,6.84,0,,,
23.94,81.46,3.85,6.84,0,,,
23.94,81.39,8.15,6.84,0,,,
23.87,81.41,3.75,6.84,0,,,
